datestamp,market,quantity,trade,open,close,pnl
29/06/2016 14:12,EUR/USD (per 0.0001) CFD,50,1,1.13093,1.11162,7120.63
22/06/2016 14:19,EUR/USD (per 0.0001) CFD,33,0,1.12271,1.1311,1873.11
22/06/2016 14:19,EUR/USD (per 0.0001) CFD,33,0,1.12265,1.1311,1886.5
22/06/2016 14:19,EUR/USD (per 0.0001) CFD,50,0,1.12267,1.1311,2851.57
13/06/2016 15:23,EUR/USD (per 0.0001) CFD,50,0,1.1282,1.12883,219.29
09/06/2016 07:36,EUR/GBP,1000,1,0.78527,0.7851,0.17
08/06/2016 17:14,EUR/USD (per 0.0001) CFD,50,0,1.14,1.14039,133.29
08/06/2016 16:35,EUR/USD (per 0.0001) CFD,50,0,1.1386,1.13984,423.92
08/06/2016 13:52,EUR/USD (per 0.0001) CFD,50,0,1.1388,1.13906,88.74
08/06/2016 13:52,EUR/USD (per 0.0001) CFD,50,0,1.1386,1.139,136.52
08/06/2016 13:47,Germany 30 DFT,50,0,10238.4,10243.5,255
08/06/2016 13:30,EUR/USD (per 0.0001) CFD,50,0,1.13828,1.13849,71.67
08/06/2016 12:30,UK 100 DFT,200,1,6287.2,6284,640
08/06/2016 09:00,US SP 500 CFD,500,0,2118.1,2111.3,-2353.03
07/06/2016 20:35,Germany 30 DFT,200,0,10282.7,10271.9,-2160
07/06/2016 20:33,EUR/USD,500000,0,1.135,1.13606,362.52
07/06/2016 16:30,GBP/USD,10000,0,1.45332,1.45717,26.29
06/06/2016 18:00,Wall Street DFT,50,0,17871.8,17878.3,325
06/06/2016 17:57,EUR/USD,10000,0,1.13765,1.13738,-1.88
06/06/2016 17:48,Wall Street CFD,15,0,17906.8,17899,-81.4
06/06/2016 17:43,EUR/GBP,1000,1,0.76866,0.7863,-17.64
06/06/2016 17:43,Wall Street CFD,15,1,17490.1,17906.7,-4347.21
06/06/2016 17:30,EUR/USD,10000,0,1.13524,1.13444,-5.57
06/06/2016 17:16,EUR/USD,10000,0,1.13504,1.13508,0.28
25/05/2016 19:03,Germany 30 DFT,1,0,9925.1,10206,280.9
25/05/2016 01:00,UK 100 DFT,1,0,6188.8,6243.6,54.8
24/05/2016 10:53,Germany 30 DFT GBP 3.00  GUARANTEED ORDER PREMIUM,,,,,-3
23/05/2016 15:44,Germany 30 DFT,1,0,9868.8,9851.1,-17.7
23/05/2016 15:44,UK 100 DFT,0.5,0,6139.1,6137,-1.05
23/05/2016 13:50,Gold (per 0.1) CFD,1,1,1253.7,1246.8,47.46
16/05/2016 14:49,Germany 30 DFT,1,1,9977.3,9921.1,56.2
16/05/2016 14:49,UK 100 Mon Call 5980 CFD,5,0,178.2,196.8,93
11/05/2016 17:01,UK 100 CFD,50,1,6149.5,6165.7,-810
11/05/2016 17:01,Wall Street DFT,50,1,17867.1,17810.5,2830
10/05/2016 21:00,Germany 30 DFT,1,0,10029.5,10084.4,54.9
10/05/2016 14:37,UK 100 DFT,1,0,6111,6135,24
06/05/2016 14:41,UK 100 DFT,1,0,6117,6108,-9
06/05/2016 14:41,Wall Street CFD,25,0,17680.6,17650.5,-523.42
04/05/2016 15:33,Wall Street CFD,1,0,17748.9,17713.4,-24.6
